event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,date,link,timestamp
UFC 317,Tracy Cortez,Viviane Araujo,1.44,3.00,Tracy Cortez,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Terrance McKinney,Viacheslav Borshchev,1.67,2.36,Terrance McKinney,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Niko Price,Jacobe Smith,13.00,1.06,Jacobe Smith,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC 317,Jhonata Diniz,Alvin  Hines,1.25,4.80,Jhonata Diniz,28th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1800,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Jamahal Hill,Khalil Rountree,2.10,2.00,Khalil Rountree,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Rafael Fiziev,Ignacio Bahamondes,2.22,1.80,Rafael Fiziev,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Curtis Blaydes,Rizvan Kuniev,1.42,3.20,Curtis Blaydes,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Myktybek Orolbai,Tofiq Musayev,1.67,2.54,Myktybek Orolbai,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Nazim Sadykhov,Nikolas Motta,1.24,4.60,Nazim Sadykhov,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Muhammadjon Naimov,Bogdan Grad,1.40,3.10,Muhammadjon Naimov,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Seok Hyun Ko,Oban Elliott,4.70,1.21,Seok Hyun Ko,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Jun Yong Park,Ismail Naurdiev,1.61,2.52,Jun Yong Park,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Dariya Zheleznyakova,Melissa Mullins,3.25,1.40,Dariya Zheleznyakova,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Irina Alekseeva,Klaudia Syguła,1.37,3.25,Klaudia Syguła,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Tagir Ulanbekov,Azat Maksum,1.25,4.80,Tagir Ulanbekov,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Hill vs. Rountree,Mohammed Usman,Hamdy Abdelwahab,2.42,1.62,Mohammed Usman,21st Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1783,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Kamaru Usman,Joaquin Buckley,3.40,1.38,Kamaru Usman,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Rose Namajunas,Miranda Maverick,1.43,3.00,Rose Namajunas,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Edmen Shahbazyan,Andre Petroski,1.68,2.30,Edmen Shahbazyan,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Cody Garbrandt,Raoni Barcelos,3.05,1.43,Raoni Barcelos,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Cody Brundage,Mansur  Abdul-Malik,7.50,1.12,Mansur  Abdul-Malik,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Alonzo Menifield,Oumar Sy,6.00,1.15,Alonzo Menifield,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Paul Craig,Rodolfo Bellato,4.15,1.26,-,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Michael Chiesa,Court McGee,1.30,3.75,Michael Chiesa,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Malcolm Wellmaker,Kris Moutinho,1.06,11.00,Malcolm Wellmaker,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Cody Durden,Jose  Ochoa,2.55,1.56,Jose  Ochoa,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Ricky Simon,Cameron Smotherman,1.26,4.50,Ricky Simon,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Phil Rowe,Ange Loosa,2.24,1.73,Phil Rowe,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC Fight Night: Usman vs. Buckley,Jamey Lyn-Horth,Vanessa Demopoulos,1.17,5.60,Jamey Lyn-Horth,14th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1793,2025-08-02 09:58:58.713051
UFC 316,Merab Dvalishvili,Sean O'Malley,1.38,3.50,Merab Dvalishvili,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Julianna Pena,Kayla Harrison,6.40,1.16,Kayla Harrison,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Joe Pyfer,Kelvin Gastelum,1.27,4.10,Joe Pyfer,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Mario Bautista,Patrick Mix,2.60,1.56,Mario Bautista,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Kevin Holland,Vicente Luque,1.46,3.10,Kevin Holland,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Bruno Silva,Joshua Van,6.00,1.16,Joshua Van,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Azamat Murzakanov,Brendson Ribeiro,1.18,5.60,Azamat Murzakanov,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Sergey Spivak,Waldo Cortes-Acosta,1.65,2.43,Waldo Cortes-Acosta,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Kalinn Williams,Andreas Gustafsson,1.53,2.65,Andreas Gustafsson,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Ariane da Silva,Cong Wang,5.10,1.18,Cong Wang,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Jeka Asparido Saragih,Joo Sang Yoo,5.30,1.19,Joo Sang Yoo,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Yanal Ashmoz,Quillan Salkilld,5.00,1.21,Quillan Salkilld,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC 316,Marquel Mederos,Mark Choinski,1.59,2.63,Marquel Mederos,7th Jun 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1778,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Mateusz Gamrot,Ludovit Klein,1.68,2.40,Mateusz Gamrot,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Billy Goff,Ramiz Brahimaj,1.27,4.40,Ramiz Brahimaj,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Dustin Jacoby,Bruno Lopes,1.55,2.63,Dustin Jacoby,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Ketlen Vieira,Macy Chiasson,2.30,1.75,Ketlen Vieira,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Zachary Reese,Dusko Todorovic,1.50,2.85,Zachary Reese,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Allan Nascimento,Jafel Filho,1.83,2.10,Allan Nascimento,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Jordan Leavitt,Kurt Holobaugh,1.43,3.10,Jordan Leavitt,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Michael Aswell,Bolaji Oki,4.80,1.25,Bolaji Oki,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Gamrot vs. Klein,Alice Ardelean,Rayanne Amanda,2.76,1.49,Alice Ardelean,31st May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1801,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Gilbert Burns,Michael Morales,5.10,1.21,Michael Morales,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Sodiq Yusuff,Mairon Santos,2.30,1.70,Mairon Santos,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Nursulton Ruziboev,Dustin Stoltzfus,1.43,3.05,Nursulton Ruziboev,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Julian Erosa,Melquizael Costa,2.40,1.62,Melquizael Costa,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Matheus Camilo,Gabriel Green,1.52,2.76,Gabriel Green,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Thiago Moises,Jared Gordon,2.02,1.87,Jared Gordon,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Yadier DelValle,Connor Matthews,1.20,5.60,Yadier DelValle,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Luana Santos,Tainara Lisboa,1.56,2.54,Luana Santos,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Denise Gomes,Elise Reed,1.19,6.00,Denise Gomes,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Carlos Hernandez,Hyun Sung Park,2.64,1.53,Hyun Sung Park,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC Fight Night: Burns vs. Morales,Luana Pinheiro,Tecia Pennington,3.60,1.31,Tecia Pennington,17th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1794,2025-08-02 09:58:58.713051
UFC 315,Belal Muhammad,Jack Della Maddalena,1.53,2.70,Jack Della Maddalena,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Valentina Shevchenko,Manon Fiorot,2.20,1.78,Valentina Shevchenko,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Jose Aldo,Aiemann Zahabi,1.56,2.60,Aiemann Zahabi,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Alexa Grasso,Natalia Cristina da Silva,3.05,1.43,Natalia Cristina da Silva,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Benoit Saint-Denis,Kyle Prepolec,1.10,10.00,Benoit Saint-Denis,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Mike Malott,Charlie Radtke,1.50,2.80,Mike Malott,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Jessica Andrade,Jasmine Jasudavicius,3.50,1.36,Jasmine Jasudavicius,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Ion Cutelaba,Modestas Bukauskas,1.91,1.94,Modestas Bukauskas,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Navajo  Stirling,Ivan Erslan,1.33,3.85,Navajo  Stirling,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Bruno Silva,Marc-Andre Barriault,2.45,1.62,Marc-Andre Barriault,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Daniel Santos,Jung Young Lee,2.20,1.77,Daniel Santos,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
UFC 315,Brad Katona,Bekzat Almakhan,2.30,1.70,Bekzat Almakhan,10th May 25,http://www.betmma.tips/mma_event_betting_history.php?Event=1749,2025-08-02 09:58:58.713051
