name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Chandler Cole,10-4-0,The Hammer,"5'10""",264lbs.,"72""",Orthodox,"Jan09,1995",2.45,60%,3.59,26%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Mark Coleman,16-10-0,The Hammer,"6'1""",205lbs.,"75""",Orthodox,"Dec20,1964",1.88,52%,2.62,40%,3.89,40%,50%,0.8,2025-07-24 10:17:07.375392
Cortez Coleman,13-8-0,Hollywood,"6'1""",185lbs.,--,,"Jan28,1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Clay Collard,14-7-0 (1 NC),Cassius,"5'11""",145lbs.,"73""",Orthodox,"Mar10,1993",4.22,32%,5.00,50%,2.81,39%,71%,0.5,2025-07-24 10:17:07.375392
Jamie Colleen,4-1-0,,"5'3""",115lbs.,"65""",Orthodox,"Nov02,1985",3.11,61%,5.66,33%,0.52,33%,50%,1.6,2025-07-24 10:17:07.375392
Jake Collier,13-10-0,The Prototype,"6'3""",230lbs.,"78""",Orthodox,"Oct25,1988",5.80,44%,5.08,50%,0.71,33%,67%,0.6,2025-07-24 10:17:07.375392
Christian Colombo,8-3-1,,"6'5""",265lbs.,--,Orthodox,"Jul01,1980",2.76,44%,4.02,42%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Willian Colorado,11-1-0,,"5'10""",135lbs.,"72""",,"Jun21,1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Wes Combs,20-6-0,The Soldier,"6'2""",205lbs.,--,Orthodox,"Jun18,1973",2.14,48%,4.73,45%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Rose Conceicao,7-1-0,,"4'7""",115lbs.,"65""",Orthodox,"May13,1997",3.07,28%,6.73,60%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Carlos Condit,32-14-0,The Natural Born Killer,"6'2""",170lbs.,"75""",Orthodox,"Apr26,1984",3.66,39%,2.67,55%,0.59,46%,38%,1.0,2025-07-24 10:17:07.375392
Chris Condo,0-1-0,,"6'0""",335lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jack Congdon,7-1-0,,--,170lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Tristan Connelly,14-8-0,Boondock,"5'10""",145lbs.,"68""",Orthodox,"Dec12,1985",3.31,51%,2.96,50%,0.33,14%,60%,0.3,2025-07-24 10:17:07.375392
Marcos Conrado Jr.,5-1-0,,"6'2""",220lbs.,--,Orthodox,"Mar14,1982",1.60,34%,9.69,35%,1.84,14%,0%,0.0,2025-07-24 10:17:07.375392
Jeremiah Constant,11-8-0 (1 NC),,"6'1""",240lbs.,--,Orthodox,"Jul19,1974",1.50,75%,3.25,43%,0.00,0%,0%,7.5,2025-07-24 10:17:07.375392
Jonathan Contrestano,6-0-0,JT,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bob Cook,5-0-0,Crazy,"5'9""",170lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Mike Cook,13-13-0,,"6'1""",205lbs.,--,Orthodox,--,1.72,49%,2.40,46%,1.03,33%,55%,2.1,2025-07-24 10:17:07.375392
Chad Cook,10-12-0,,"6'2""",205lbs.,--,,"Nov07,1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
TJ Cook,13-5-0,,--,205lbs.,--,,"Sep08,1982",2.30,47%,3.18,54%,1.01,50%,0%,0.0,2025-07-24 10:17:07.375392
Dewey Cooper,2-1-0,The Black Cobra,--,205lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Brett Cooper,23-12-0,,"6'0""",170lbs.,--,Orthodox,"Jul02,1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bill Cooper,2-1-0,,--,155lbs.,--,,"May05,1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bobby Cooper,12-7-0,Super Duper,"6'1""",155lbs.,--,,--,2.87,25%,3.40,59%,0.00,0%,40%,1.0,2025-07-24 10:17:07.375392
Amanda Cooper,3-5-0,ABC,"5'3""",115lbs.,"64""",Switch,"Oct22,1991",3.55,44%,3.20,51%,1.53,38%,28%,1.8,2025-07-24 10:17:07.375392
Kit Cope,6-7-0,Havoc,"6'0""",170lbs.,--,Orthodox,"Mar17,1977",1.18,52%,2.12,35%,0.00,0%,50%,3.5,2025-07-24 10:17:07.375392
Chris Cope,8-4-0,C-Murder,"6'0""",170lbs.,"72""",Orthodox,"Mar05,1983",3.96,26%,4.82,50%,0.00,0%,80%,0.0,2025-07-24 10:17:07.375392
Josh Copeland,12-4-0,Cuddly Bear,"6'1""",265lbs.,--,Orthodox,"Oct20,1982",1.03,31%,3.01,55%,0.00,0%,57%,0.0,2025-07-24 10:17:07.375392
Michael Cora,4-1-0,Kookie Monster,"6'1""",170lbs.,"77""",Southpaw,"Aug24,1989",0.80,28%,0.13,66%,0.00,0%,25%,0.0,2025-07-24 10:17:07.375392
Akira Corassani,12-6-0 (1 NC),,"5'8""",145lbs.,"68""",Orthodox,"Aug27,1982",3.25,45%,4.91,50%,0.70,28%,86%,0.0,2025-07-24 10:17:07.375392
Muhsin Corbbrey,17-9-0,,"5'10""",155lbs.,--,Orthodox,"May18,1978",2.02,34%,5.41,53%,0.00,0%,80%,0.4,2025-07-24 10:17:07.375392
Daniel Cormier,22-3-0 (1 NC),DC,"5'11""",235lbs.,"72""",Orthodox,"Mar20,1979",4.25,52%,2.92,54%,1.83,44%,80%,0.4,2025-07-24 10:17:07.375392
Nora Cornolle,9-2-0,,"5'7""",135lbs.,"67""",Orthodox,"Dec06,1989",3.07,54%,1.91,62%,0.33,11%,50%,0.3,2025-07-24 10:17:07.375392
Clint Coronel,2-5-0,,--,155lbs.,--,,--,4.93,32%,5.60,66%,0.00,0%,66%,0.0,2025-07-24 10:17:07.375392
Henry Corrales,13-3-0,,"5'9""",145lbs.,--,,--,4.12,41%,5.84,55%,0.00,0%,69%,0.0,2025-07-24 10:17:07.375392
Bethe Correia,11-6-1,Pitbull,"5'5""",135lbs.,"64""",Orthodox,"Jun22,1983",4.37,43%,4.93,56%,0.39,18%,85%,0.0,2025-07-24 10:17:07.375392
Wesley Correira,20-16-0,Cabbage,"6'3""",260lbs.,--,Orthodox,"Nov11,1978",2.60,36%,8.80,40%,0.00,0%,90%,0.0,2025-07-24 10:17:07.375392
Waldo Cortes-Acosta,14-1-0,Salsa Boy,"6'4""",260lbs.,"78""",Orthodox,"Oct03,1991",5.98,48%,3.43,55%,0.42,50%,66%,0.1,2025-07-24 10:17:07.375392
Tracy Cortez,12-2-0,,"5'5""",125lbs.,"65""",Orthodox,"Dec10,1993",3.79,49%,2.84,57%,2.19,47%,62%,0.3,2025-07-24 10:17:07.375392
Reyes Cortez Jr.,7-3-0,,"5'7""",135lbs.,"68""",Orthodox,"Jul31,1992",4.10,45%,7.43,52%,1.50,11%,100%,0.0,2025-07-24 10:17:07.375392
Chad Corvin,5-0-0,The Brave Warrior,"6'5""",255lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Louis Cosce,7-2-0,,"5'9""",170lbs.,"71""",Orthodox,"Aug27,1995",4.31,45%,5.35,47%,1.04,20%,50%,0.5,2025-07-24 10:17:07.375392
Orion Cosce,8-2-0,Galaxy,"5'11""",170lbs.,"71""",Switch,"Jul15,1994",2.77,53%,4.02,44%,1.92,40%,61%,0.0,2025-07-24 10:17:07.375392
Miguel Cosio,1-13-0,,"6'4""",205lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jadson Costa,22-8-0 (1 NC),,"5'7""",155lbs.,--,Orthodox,--,0.20,50%,3.05,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Guilherme Costa,7-1-0,The Prodigy,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Paulo Costa,15-4-0,The Eraser,"6'1""",185lbs.,"72""",Orthodox,"Apr21,1991",6.26,58%,6.20,49%,0.32,50%,80%,0.0,2025-07-24 10:17:07.375392
Randy Costa,6-4-0,The Zohan,"5'9""",135lbs.,"73""",Switch,"Jul06,1994",6.53,46%,7.58,58%,0.00,0%,50%,0.0,2025-07-24 10:17:07.375392
Alessandro Costa,14-4-0,Nono,"5'4""",125lbs.,"67""",Orthodox,"Jan28,1996",4.14,47%,3.50,57%,0.27,12%,90%,0.0,2025-07-24 10:17:07.375392
Melquizael Costa,24-7-0,Melk Cauthy,"5'10""",145lbs.,"71""",Southpaw,"Sep14,1996",4.44,49%,3.09,54%,1.96,38%,58%,1.2,2025-07-24 10:17:07.375392
Vitor Costa,8-1-0,,--,185lbs.,--,,"Sep19,2000",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Oscar Cota,11-3-0 (1 NC),Elevation,"6'0""",230lbs.,"72""",Orthodox,"Oct15,1984",0.33,41%,2.47,41%,0.00,0%,60%,1.0,2025-07-24 10:17:07.375392
Patrick Cote,23-11-0,The Predator,"5'11""",170lbs.,"75""",Orthodox,"Feb29,1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,2025-07-24 10:17:07.375392
JC Cottrell,17-5-0,,"5'9""",155lbs.,--,Orthodox,"Nov04,1989",0.79,25%,2.75,45%,0.79,100%,50%,0.0,2025-07-24 10:17:07.375392
JR Coughran,4-1-0,Bam Bam,"5'6""",145lbs.,--,Orthodox,"May17,1994",12.29,57%,6.80,45%,0.00,0%,75%,0.0,2025-07-24 10:17:07.375392
Rashad Coulter,9-4-0,Daywalker,"5'11""",205lbs.,"76""",Orthodox,"Nov27,1981",4.82,56%,6.68,50%,0.00,0%,62%,0.0,2025-07-24 10:17:07.375392
Dave Courchaine,20-7-0,,"5'8""",170lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Randy Couture,19-11-0,The Natural,"6'1""",205lbs.,"75""",Orthodox,"Jun22,1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5,2025-07-24 10:17:07.375392
Kim Couture,3-8-0,Sugar Free,"5'8""",135lbs.,--,Orthodox,"Dec18,1975",12.12,80%,2.31,69%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ryan Couture,11-5-0,,"5'10""",155lbs.,"73""",Orthodox,"Aug27,1982",3.54,45%,2.87,54%,1.55,29%,46%,1.3,2025-07-24 10:17:07.375392
Nikk Covert,3-4-0,The Brick,"5'8""",185lbs.,--,,"Aug04,1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Colby Covington,17-5-0,Chaos,"5'11""",170lbs.,"72""",Orthodox,"Feb22,1988",3.81,38%,3.09,54%,3.64,42%,68%,0.2,2025-07-24 10:17:07.375392
Hailey Cowan,7-4-0,All Hail,"5'8""",135lbs.,"67""",Southpaw,"Feb12,1992",2.50,42%,2.79,33%,1.63,36%,80%,0.0,2025-07-24 10:17:07.375392
Jeff Cox,10-7-0,The Grinder,"5'10""",155lbs.,--,Orthodox,"Aug02,1968",0.56,25%,1.69,33%,4.23,50%,80%,0.0,2025-07-24 10:17:07.375392
Nathan Coy,15-7-0,Soulforce,"5'10""",170lbs.,"69""",Southpaw,"Jul24,1978",3.88,52%,2.40,61%,3.17,47%,50%,0.0,2025-07-24 10:17:07.375392
Andrew Craig,9-4-0,Highlight,"6'1""",170lbs.,"76""",Orthodox,"Jan15,1986",2.39,40%,3.01,50%,0.53,37%,72%,0.0,2025-07-24 10:17:07.375392
Paul Craig,17-9-1 (1 NC),Bearjew,"6'3""",205lbs.,"76""",Orthodox,"Nov27,1987",2.54,45%,3.00,43%,1.47,19%,35%,1.4,2025-07-24 10:17:07.375392
Dan Cramer,11-4-0,,"6'2""",170lbs.,--,Orthodox,"Oct31,1985",0.97,30%,2.10,31%,0.00,0%,66%,0.5,2025-07-24 10:17:07.375392
Alberto Crane,15-5-0,,"5'5""",155lbs.,--,Orthodox,"Jul14,1976",0.43,25%,2.61,57%,0.00,0%,50%,4.0,2025-07-24 10:17:07.375392
Tim Credeur,12-4-0,,"6'3""",185lbs.,"75""",Orthodox,"Jul09,1977",3.59,30%,3.13,57%,0.41,100%,50%,3.3,2025-07-24 10:17:07.375392
Paul Creighton,3-1-0,,"5'6""",155lbs.,--,Southpaw,"Jun04,1970",0.72,75%,4.65,30%,5.37,37%,0%,0.0,2025-07-24 10:17:07.375392
Helena Crevar,0-0-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alexander Crispim,8-6-0,,--,145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alex Crispin,0-1-0,,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Kevin Croom,21-15-0 (1 NC),Crash,"5'11""",135lbs.,"73""",Orthodox,"Jul15,1987",2.65,34%,3.10,41%,0.48,5%,30%,0.5,2025-07-24 10:17:07.375392
Kiefer Crosbie,10-5-0,BDK,"5'11""",170lbs.,"70""",Switch,"Apr05,1990",6.27,64%,4.97,54%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ken Cross,11-3-0,The Boss,"6'0""",155lbs.,"72""",Southpaw,"Oct04,1994",2.20,57%,1.40,55%,1.00,12%,66%,0.0,2025-07-24 10:17:07.375392
Jeff Crotty,1-1-0,,--,155lbs.,--,,--,0.93,35%,3.33,54%,5.00,38%,0%,1.0,2025-07-24 10:17:07.375392
Allen Crowder,10-4-0 (1 NC),Pretty Boy,"6'3""",245lbs.,"76""",Orthodox,"Nov08,1989",2.95,51%,2.95,56%,1.85,33%,100%,1.2,2025-07-24 10:17:07.375392
Daron Cruickshank,18-10-0 (1 NC),Detroit Superstar,"5'8""",155lbs.,"72""",Switch,"Jun11,1985",2.88,38%,2.98,57%,2.04,41%,60%,0.2,2025-07-24 10:17:07.375392
Richard Crunkilton,19-4-0,Cleat,"5'7""",155lbs.,--,Orthodox,"Nov25,1979",1.72,41%,1.45,58%,4.08,61%,65%,1.3,2025-07-24 10:17:07.375392
Jimmy Crute,13-4-2,,"6'2""",205lbs.,"74""",Orthodox,"Mar04,1996",4.17,52%,3.68,42%,4.20,52%,58%,1.9,2025-07-24 10:17:07.375392
Marcio Cruz,8-3-0,Pe de Pano,"6'4""",232lbs.,--,Orthodox,"Apr24,1978",2.92,46%,1.51,68%,0.53,7%,37%,1.6,2025-07-24 10:17:07.375392
Dominick Cruz,24-4-0,The Dominator,"5'8""",135lbs.,"68""",Orthodox,"Mar09,1985",3.91,33%,2.61,70%,2.82,42%,83%,0.1,2025-07-24 10:17:07.375392
Aalon Cruz,8-4-0,,"6'0""",145lbs.,"78""",Switch,"Sep20,1989",7.58,39%,8.88,58%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Timmy Cuamba,9-3-0,Twilight,"5'9""",145lbs.,"71""",Orthodox,"Feb08,1999",3.12,42%,4.30,58%,1.11,26%,80%,0.0,2025-07-24 10:17:07.375392
Jay Cucciniello,8-1-0,,"5'7""",155lbs.,--,Orthodox,"Jul23,1986",0.93,21%,4.73,36%,0.00,0%,71%,0.0,2025-07-24 10:17:07.375392
Emilio Cuellar,6-1-0,Show Kid,--,125lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Josh Culibao,11-4-1,Kuya,"5'10""",145lbs.,"73""",Orthodox,"May24,1994",3.41,44%,3.04,59%,0.00,0%,65%,0.3,2025-07-24 10:17:07.375392
Chris Culley,20-15-0,,--,145lbs.,--,,"Mar25,1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Abel Cullum,20-6-0,The Silent Assassin,"5'7""",139lbs.,--,Orthodox,"Apr21,1987",1.82,40%,1.23,46%,4.01,52%,0%,2.8,2025-07-24 10:17:07.375392
Zak Cummings,25-7-0,,"6'0""",205lbs.,"75""",Southpaw,"Aug02,1984",2.96,35%,2.91,55%,0.62,28%,66%,0.6,2025-07-24 10:17:07.375392
Everett Cummings,12-0-0,,--,205lbs.,--,,--,0.43,60%,4.34,45%,0.00,0%,0%,2.2,2025-07-24 10:17:07.375392
Patrick Cummins,10-7-0,Durkin,"6'2""",205lbs.,"76""",Orthodox,"Nov16,1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1,2025-07-24 10:17:07.375392
Luke Cummo,6-6-0,,"6'0""",170lbs.,"74""",Orthodox,"Apr27,1980",1.74,43%,1.50,59%,0.89,55%,42%,1.4,2025-07-24 10:17:07.375392
Hugo Cunha,8-2-0,Silverback,"6'3""",263lbs.,"79""",Orthodox,"Feb04,1993",0.60,30%,3.01,34%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alton Cunningham,4-2-0,The Bo-Man,"6'2""",205lbs.,"77""",Orthodox,"Jun24,1993",3.33,75%,4.94,20%,1.67,10%,100%,0.0,2025-07-24 10:17:07.375392
AJ Cunningham,11-5-0,The Savage,"5'10""",135lbs.,"71""",Orthodox,"Sep07,1994",4.22,29%,6.31,48%,0.00,0%,46%,0.5,2025-07-24 10:17:07.375392
Tommy Cuozzi,8-0-0,Little T,--,145lbs.,--,,"Aug31,1999",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Santo Curatolo,6-2-0,,"5'3""",125lbs.,"62""",Southpaw,"Jan18,1995",1.40,39%,6.07,34%,2.00,33%,100%,0.0,2025-07-24 10:17:07.375392
Larry Cureton,0-2-0,,"6'2""",240lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jeff Curran,36-18-1,Big Frog,"5'6""",135lbs.,"69""",Orthodox,"Sep02,1977",1.54,31%,2.48,60%,0.35,12%,35%,1.2,2025-07-24 10:17:07.375392
Kailin Curran,4-5-0,,"5'4""",115lbs.,"65""",Orthodox,"Apr11,1991",3.89,43%,4.75,53%,2.00,57%,61%,0.6,2025-07-24 10:17:07.375392
Pat Curran,22-7-0,Paddy Mike,"5'9""",145lbs.,--,,"Aug31,1987",4.70,58%,4.40,63%,2.50,62%,66%,0.0,2025-07-24 10:17:07.375392
Will Currie,12-4-0,Drago,"6'3""",185lbs.,"76""",Switch,"Nov12,1998",2.73,47%,5.67,44%,2.00,13%,50%,0.0,2025-07-24 10:17:07.375392
Chris Curtis,32-12-0 (1 NC),Action-Man,"5'10""",170lbs.,"75""",Orthodox,"Jul15,1987",5.98,50%,6.19,54%,0.00,0%,82%,0.0,2025-07-24 10:17:07.375392
Ion Cutelaba,19-11-1 (1 NC),The Hulk,"6'1""",205lbs.,"75""",Southpaw,"Dec14,1993",4.26,43%,3.34,47%,3.77,49%,75%,0.1,2025-07-24 10:17:07.375392
Gleidson Cutis,7-4-0,Poney,"5'9""",155lbs.,--,Orthodox,"Feb07,1989",2.99,52%,8.28,59%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Sarah D'alelio,11-7-0,The Monster,"5'7""",145lbs.,--,,"Dec13,1980",2.40,33%,0.00,100%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Marcos da Matta,11-3-0,Parrumpinha,"5'4""",145lbs.,--,,"Mar18,1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Henrique da Silva,14-5-0,Frankenstein,"6'3""",205lbs.,"76""",Orthodox,"Sep01,1989",3.89,60%,5.28,40%,0.25,14%,22%,0.2,2025-07-24 10:17:07.375392
Ariane da Silva,17-11-0,Queen of Violence,"5'6""",125lbs.,"67""",Orthodox,"Jan26,1994",4.05,41%,4.40,50%,0.47,38%,68%,0.3,2025-07-24 10:17:07.375392
Alex Da Silva,21-4-0,Leko,"5'8""",155lbs.,"73""",Orthodox,"Feb04,1996",2.14,46%,2.52,56%,1.97,43%,76%,0.3,2025-07-24 10:17:07.375392
Radley Da Silva,7-1-0,Snake Eyes,--,145lbs.,--,,"Jun20,1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Paulo Da Silva,11-1-0,PH,--,125lbs.,--,,"Jul03,2002",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Henrique Da Silva Lopes,5-2-0,Montanha,"6'3""",240lbs.,--,,"Mar08,1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Deni Daffa,6-2-0,,"6'0""",155lbs.,"74""",Orthodox,"Sep08,1999",3.47,38%,6.45,38%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Nicolas Dalby,23-6-1 (2 NC),Danish Dynamite,"5'11""",170lbs.,"74""",Orthodox,"Nov16,1984",4.05,43%,3.69,52%,0.98,27%,58%,0.1,2025-07-24 10:17:07.375392
Paul Daley,39-15-2,Semtex,"5'9""",170lbs.,"76""",Orthodox,"Feb21,1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0,2025-07-24 10:17:07.375392
Dave Dalgliesh,30-19-2,,"6'2""",205lbs.,--,Orthodox,"Apr05,1978",0.00,0%,1.85,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Richard Dalton,4-3-1,,"6'1""",205lbs.,--,Orthodox,--,1.20,69%,3.27,25%,1.00,11%,0%,0.0,2025-07-24 10:17:07.375392
Aisling Daly,16-6-0,Ais the Bash,"5'2""",115lbs.,"64""",Orthodox,"Dec24,1987",2.92,52%,1.40,55%,2.15,41%,33%,0.9,2025-07-24 10:17:07.375392
Marko Damiani,0-2-0,,"6'0""",170lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Leonardo Damiani,10-3-1,Puppy,"5'10""",170lbs.,"69""",Orthodox,"Aug30,1990",1.67,23%,4.17,37%,0.00,0%,50%,0.0,2025-07-24 10:17:07.375392
Rodrigo Damm,13-9-0,,"5'7""",155lbs.,"71""",Orthodox,"Feb03,1980",3.50,36%,5.61,57%,0.44,16%,80%,0.3,2025-07-24 10:17:07.375392
Carina Damm,2-13-0,Beauty But the Beast,"5'4""",135lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Batgerel Danaa,12-5-0,Storm,"5'7""",135lbs.,"70""",Orthodox,"Jul04,1989",5.38,36%,4.21,47%,0.52,50%,62%,0.0,2025-07-24 10:17:07.375392
Cindy Dandois,8-3-0,Battlecat,"5'7""",135lbs.,--,Orthodox,"Oct26,1984",3.13,32%,3.40,58%,5.00,55%,0%,0.0,2025-07-24 10:17:07.375392
Peter Danesoe,8-4-0,The Asian Viking,"5'6""",135lbs.,"68""",Orthodox,"Sep01,2000",4.99,52%,6.73,38%,0.00,0%,62%,0.0,2025-07-24 10:17:07.375392
Jarjis Danho,7-1-1 (1 NC),Man Mountain,"6'3""",265lbs.,"74""",Orthodox,"Oct15,1983",3.38,50%,5.25,49%,0.51,16%,100%,0.0,2025-07-24 10:17:07.375392
Raymond Daniels,0-1-0,,"6'2""",185lbs.,--,Southpaw,--,0.00,0%,2.61,38%,0.00,0%,33%,3.0,2025-07-24 10:17:07.375392
Marques Daniels,5-5-0,,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Anvarbek Daniyalbekov,8-0-0,,--,185lbs.,--,,"May27,1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alexandre Dantas,0-3-0,Cafe,"6'2""",238lbs.,--,Orthodox,"Mar01,1979",0.21,25%,1.87,60%,0.00,0%,0%,3.1,2025-07-24 10:17:07.375392
Eduardo Dantas,20-4-0,Dudu,"5'10""",135lbs.,--,,"Feb03,1989",3.33,60%,3.00,60%,4.00,23%,100%,0.0,2025-07-24 10:17:07.375392
Mac Danzig,21-12-1,,"5'8""",155lbs.,"70""",Orthodox,"Jan02,1980",3.39,48%,3.44,57%,1.20,37%,46%,0.6,2025-07-24 10:17:07.375392
Karen Darabedyan,13-6-0,,"5'7""",155lbs.,"68""",Orthodox,"Dec18,1986",3.43,51%,2.62,67%,2.14,75%,0%,0.0,2025-07-24 10:17:07.375392
Beneil Dariush,23-6-1,,"5'10""",155lbs.,"72""",Southpaw,"May06,1989",3.78,49%,2.61,57%,2.12,38%,82%,0.8,2025-07-24 10:17:07.375392
Sean Daugherty,0-2-0,,"6'0""",175lbs.,--,,"Dec04,1975",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Kyle Daukaus,11-4-0 (1 NC),,"6'3""",185lbs.,"76""",Southpaw,"Feb27,1993",3.22,52%,2.94,42%,2.12,25%,82%,1.9,2025-07-24 10:17:07.375392
Chris Daukaus,12-7-0,,"6'3""",205lbs.,"76""",Orthodox,"Sep25,1989",6.05,50%,4.64,55%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Brian Davidson,13-4-0,,"5'6""",145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Rick Davis,3-1-1,The Flying Squirrel,"5'9""",155lbs.,--,Orthodox,--,3.09,50%,6.19,64%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Marcus Davis,22-11-0 (1 NC),The Irish Hand Grenade,"5'10""",170lbs.,"70""",Southpaw,"Aug24,1973",2.72,39%,2.79,65%,1.60,48%,47%,1.4,2025-07-24 10:17:07.375392
LC Davis,23-8-0,,"5'8""",135lbs.,"69""",Southpaw,"Oct28,1980",2.04,30%,2.10,59%,2.27,46%,66%,0.2,2025-07-24 10:17:07.375392
Phil Davis,17-4-0 (1 NC),Mr. Wonderful,"6'2""",205lbs.,"79""",Orthodox,"Sep25,1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6,2025-07-24 10:17:07.375392
Lemont Davis,2-6-0,,"5'8""",170lbs.,--,Orthodox,--,0.87,54%,1.27,55%,1.00,50%,0%,1.0,2025-07-24 10:17:07.375392
Mike Davis,2-0-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Justin Davis,13-16-0,Dangerous,"5'11""",205lbs.,--,,"Apr01,1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alexis Davis,21-11-0,,"5'6""",135lbs.,"68""",Orthodox,"Oct04,1984",4.63,49%,4.45,54%,0.95,44%,34%,0.7,2025-07-24 10:17:07.375392
Danny Davis,13-11-1,,"6'2""",170lbs.,--,,"Jul28,1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Brandon Davis,14-10-0,Killer B,"5'10""",135lbs.,"72""",Orthodox,"May08,1990",4.68,35%,4.62,58%,0.74,42%,57%,0.1,2025-07-24 10:17:07.375392
Mike Davis,12-3-0,Beast Boy,"6'0""",155lbs.,"72""",Orthodox,"Oct07,1992",4.73,53%,5.23,54%,2.40,44%,60%,0.8,2025-07-24 10:17:07.375392
