name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Richie Smullen,3-1-1,,"5'9""",155lbs.,"68""",Orthodox,"Aug17,1991",1.98,77%,2.26,65%,8.49,66%,0%,0.0,2025-07-24 10:17:07.375392
Devin Smyth,4-2-0,,"5'10""",170lbs.,"72""",Switch,"Jul21,1995",2.60,68%,6.73,25%,4.00,26%,100%,0.0,2025-07-24 10:17:07.375392
Denis Sobolev,4-7-0,,"6'3""",216lbs.,--,Orthodox,--,0.00,0%,5.45,33%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Peter Sobotta,17-7-1,,"6'0""",170lbs.,"75""",Southpaw,"Jan11,1987",2.14,40%,2.90,58%,1.53,32%,77%,0.5,2025-07-24 10:17:07.375392
Renato Sobral,37-11-0,Babalu,"6'1""",205lbs.,"75""",Orthodox,"Sep07,1975",2.23,45%,1.53,57%,2.48,42%,65%,2.6,2025-07-24 10:17:07.375392
Rameau Thierry Sokoudjou,18-18-0,The African Assassin,"5'10""",205lbs.,"78""",Orthodox,"Apr18,1984",2.26,45%,2.61,56%,1.93,47%,78%,0.9,2025-07-24 10:17:07.375392
Alexander Soldatkin,14-4-0,,"6'2""",250lbs.,"75""",Orthodox,"Jun10,1993",1.16,60%,1.35,26%,1.45,50%,50%,0.0,2025-07-24 10:17:07.375392
Joe Solecki,13-6-0,,"5'9""",155lbs.,"70""",Orthodox,"Aug27,1993",1.97,53%,1.85,50%,2.06,48%,14%,1.4,2025-07-24 10:17:07.375392
Chris Solomon,0-0-0,,"5'11""",155lbs.,--,,--,0.00,0%,2.80,37%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Joe Son,0-4-0,,"5'4""",236lbs.,--,Orthodox,"Nov22,1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Paul Song,2-2-0,,--,185lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Song Kenan,22-9-0,The Assassin,"6'0""",170lbs.,"71""",Orthodox,"Mar10,1990",4.49,46%,5.82,51%,0.42,30%,73%,0.0,2025-07-24 10:17:07.375392
Song Yadong,22-8-1 (1 NC),Kung Fu Kid,"5'8""",135lbs.,"67""",Orthodox,"Dec02,1997",4.58,43%,4.00,55%,0.61,38%,73%,0.1,2025-07-24 10:17:07.375392
YoungJae Song,6-1-1,Super Rookie,"5'7""",145lbs.,"70""",Orthodox,"Jan03,1996",3.33,58%,2.33,55%,0.00,0%,45%,0.0,2025-07-24 10:17:07.375392
Hyeonjong Song,8-1-0,,--,135lbs.,--,,"Apr23,2002",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Emrah Sonmez,14-5-0,Anatolian Wolf,"5'10""",145lbs.,"71""",Orthodox,"Jun26,1992",1.47,46%,1.73,48%,5.00,21%,0%,0.0,2025-07-24 10:17:07.375392
Chael Sonnen,29-15-1,,"6'1""",205lbs.,"73""",Southpaw,"Apr03,1977",3.08,43%,1.10,62%,3.81,59%,66%,0.4,2025-07-24 10:17:07.375392
Cody Sons,3-7-0,,"5'9""",205lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jin Soo Son,9-4-0,,"5'6""",135lbs.,"69""",Orthodox,"Apr01,1993",5.10,36%,7.63,52%,1.50,25%,100%,0.0,2025-07-24 10:17:07.375392
Benardo Sopaj,12-3-0,Lion King,"5'6""",135lbs.,"66""",Orthodox,"Sep25,2000",4.24,56%,4.88,49%,2.53,71%,76%,0.0,2025-07-24 10:17:07.375392
Emiliano Sordi,16-7-0,He-Man,"6'2""",205lbs.,--,Orthodox,"Feb15,1991",4.79,50%,4.79,48%,0.00,0%,100%,8.3,2025-07-24 10:17:07.375392
Sean Soriano,14-8-0,,"5'9""",145lbs.,"70""",Orthodox,"Oct06,1989",3.18,61%,2.14,56%,1.33,55%,52%,0.0,2025-07-24 10:17:07.375392
Punahele Soriano,11-4-0,Puna,"5'11""",170lbs.,"72""",Southpaw,"Nov22,1992",5.00,53%,3.88,48%,1.47,56%,37%,0.0,2025-07-24 10:17:07.375392
Dmitry Sosnovskiy,11-0-0,Wicked Machine,"6'3""",240lbs.,"77""",Orthodox,"Jul06,1989",2.95,70%,2.53,35%,3.16,66%,100%,3.2,2025-07-24 10:17:07.375392
Ben Sosoli,7-3-0 (2 NC),Combat Wombat,"6'0""",265lbs.,"72""",Southpaw,"Dec10,1989",2.31,31%,4.30,47%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Krzysztof Soszynski,26-12-1,The Polish Experiment,"6'1""",205lbs.,"77""",OpenStance,"Aug02,1977",3.37,39%,3.13,58%,0.52,25%,71%,1.0,2025-07-24 10:17:07.375392
George Sotiropoulos,14-7-0,,"5'10""",155lbs.,"71""",Orthodox,"Jul09,1977",2.61,27%,2.52,67%,2.32,31%,53%,1.6,2025-07-24 10:17:07.375392
Greg Soto,9-4-0,,"5'11""",170lbs.,"73""",Orthodox,"Jun03,1986",3.21,63%,2.61,52%,1.49,27%,44%,1.0,2025-07-24 10:17:07.375392
Alex Soto,8-3-1,Extremo,"5'8""",135lbs.,--,Southpaw,"Feb15,1984",2.95,25%,5.02,59%,2.82,30%,0%,0.0,2025-07-24 10:17:07.375392
Joe Soto,18-7-0,One Bad Mofo,"5'6""",135lbs.,"65""",Orthodox,"Mar22,1987",3.36,41%,5.37,67%,0.85,21%,70%,1.9,2025-07-24 10:17:07.375392
Mario Soto,7-2-0,Dr. Mario,"6'0""",145lbs.,--,,--,1.43,23%,5.23,42%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Andre Soukhamthath,13-8-0,The Asian Sensation,"5'9""",135lbs.,"70""",Orthodox,"Oct23,1988",2.77,44%,4.31,49%,1.25,53%,58%,0.2,2025-07-24 10:17:07.375392
