event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,date,link,timestamp,fighter1_implied_prob,fighter2_implied_prob,total_implied_prob,bookmaker_margin,fighter1_norm_prob,fighter2_norm_prob,result_encoded,has_result,odds_diff,odds_ratio,fighter1_is_favorite,underdog_odds,favorite_odds,odds_gap,year,month,day_of_week
UFC 318,Jim Crute,Marcin Prachnio,1.32,6.8,Jim Crute,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.7575757575757576,0.14705882352941177,0.9046345811051694,-0.09536541889483063,0.8374384236453202,0.1625615763546798,1,1,-5.4799999999999995,0.19411764705882353,1,6.8,1.32,5.4799999999999995,2025,7,5
UFC 318,Ryan Spann,Lukasz Brzeski,1.49,3.15,Ryan Spann,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.6711409395973155,0.31746031746031744,0.9886012570576329,-0.01139874294236709,0.6788793103448276,0.3211206896551724,1,1,-1.66,0.473015873015873,1,3.15,1.49,1.66,2025,7,5
UFC 318,Brunno Ferreira,Jackson McVey,1.26,5.25,Brunno Ferreira,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.7936507936507936,0.19047619047619047,0.9841269841269841,-0.015873015873015928,0.8064516129032258,0.1935483870967742,1,1,-3.99,0.24,1,5.25,1.26,3.99,2025,7,5
UFC 318,Nicolle  Caliari,Carli Judice,8.0,1.27,Carli Judice,2025-07-19,http://www.betmma.tips/mma_event_betting_history.php?Event=1810,2025-08-02 09:58:58.713051,0.125,0.7874015748031495,0.9124015748031495,-0.08759842519685046,0.13700107874865158,0.8629989212513485,0,1,6.73,6.299212598425196,0,8.0,1.27,6.73,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Derrick Lewis,Talisson Teixeira,3.1,1.41,Derrick Lewis,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.3225806451612903,0.7092198581560284,1.0318005033173188,0.03180050331731876,0.31263858093126384,0.6873614190687362,1,1,1.6900000000000002,2.1985815602836882,0,3.1,1.41,1.6900000000000002,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Stephen Thompson,Gabriel Bonfim,4.33,1.25,Gabriel Bonfim,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.23094688221709006,0.8,1.0309468822170902,0.030946882217090188,0.2240143369175627,0.7759856630824372,0,1,3.08,3.464,0,4.33,1.25,3.08,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Calvin Kattar,Steve Garcia,2.2,1.74,Steve Garcia,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.45454545454545453,0.5747126436781609,1.0292580982236155,0.02925809822361547,0.4416243654822335,0.5583756345177665,0,1,0.4600000000000002,1.264367816091954,0,2.2,1.74,0.4600000000000002,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Nate Landwehr,Morgan Charriere,3.1,1.42,Morgan Charriere,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.3225806451612903,0.7042253521126761,1.0268059972739665,0.026805997273966486,0.31415929203539816,0.6858407079646017,0,1,1.6800000000000002,2.183098591549296,0,3.1,1.42,1.6800000000000002,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Vitor Petrino,Austen Lane,1.15,5.6,Vitor Petrino,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.8695652173913044,0.17857142857142858,1.048136645962733,0.04813664596273304,0.8296296296296296,0.17037037037037037,1,1,-4.449999999999999,0.20535714285714285,1,5.6,1.15,4.449999999999999,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Junior Tafa,George Tokkos,1.61,2.5,George Tokkos,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.6211180124223602,0.4,1.0211180124223602,0.02111801242236022,0.608272506082725,0.39172749391727496,0,1,-0.8899999999999999,0.644,1,2.5,1.61,0.8899999999999999,2025,7,5
UFC Fight Night: Lewis vs. Teixeira,Chris Curtis,Max Griffin,1.33,3.5,Chris Curtis,2025-07-12,http://www.betmma.tips/mma_event_betting_history.php?Event=1820,2025-08-02 09:58:58.713051,0.7518796992481203,0.2857142857142857,1.037593984962406,0.03759398496240607,0.7246376811594202,0.27536231884057966,1,1,-2.17,0.38,1,3.5,1.33,2.17,2025,7,5
