EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,2025-07-19,"New Orleans, Louisiana, USA",,2025,7,19,5,New Orleans,Louisiana,USA,True,False
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,2025-07-12,"Nashville, Tennessee, USA",,2025,7,12,5,Nashville,Tennessee,USA,False,True
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,2025-06-28,"Las Vegas, Nevada, USA",,2025,6,28,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Hill vs. Rountree Jr.,http://ufcstats.com/event-details/400c7b43c86d27d3,2025-06-21,"Baku, Azerbaijan",,2025,6,21,5,Baku,Azerbaijan,,False,True
UFC Fight Night: Usman vs. Buckley,http://ufcstats.com/event-details/de277a4abcfeea46,2025-06-14,"Atlanta, Georgia, USA",,2025,6,14,5,Atlanta,Georgia,USA,False,True
UFC 316: Dvalishvili vs. O'Malley 2,http://ufcstats.com/event-details/18c49685296c60e6,2025-06-07,"Newark, New Jersey, USA",,2025,6,7,5,Newark,New Jersey,USA,True,False
UFC Fight Night: Blanchfield vs. Barber,http://ufcstats.com/event-details/2a898bf9fb7710b3,2025-05-31,"Las Vegas, Nevada, USA",,2025,5,31,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Burns vs. Morales,http://ufcstats.com/event-details/8ad022dd81224f61,2025-05-17,"Las Vegas, Nevada, USA",,2025,5,17,5,Las Vegas,Nevada,USA,False,True
UFC 315: Muhammad vs. Della Maddalena,http://ufcstats.com/event-details/118463dd8db16e7f,2025-05-10,"Montreal, Quebec, Canada",,2025,5,10,5,Montreal,Quebec,Canada,True,False
UFC Fight Night: Sandhagen vs. Figueiredo,http://ufcstats.com/event-details/de20ffb3fc2e7629,2025-05-03,"Des Moines, Iowa, USA",,2025,5,3,5,Des Moines,Iowa,USA,False,True
UFC Fight Night: Machado Garry vs. Prates,http://ufcstats.com/event-details/b2e3aca4cd363477,2025-04-26,"Kansas City, Missouri, USA",,2025,4,26,5,Kansas City,Missouri,USA,False,True
UFC 314: Volkanovski vs. Lopes,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,2025-04-12,"Miami, Florida, USA",,2025,4,12,5,Miami,Florida,USA,True,False
UFC Fight Night: Emmett vs. Murphy,http://ufcstats.com/event-details/86b30a86664cb6e4,2025-04-05,"Las Vegas, Nevada, USA",,2025,4,5,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Moreno vs. Erceg,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-03-29,"Mexico City, Distrito Federal, Mexico",,2025,3,29,5,Mexico City,Distrito Federal,Mexico,False,True
UFC Fight Night: Edwards vs. Brady,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-03-22,"London, England, United Kingdom",,2025,3,22,5,London,England,United Kingdom,False,True
UFC Fight Night: Vettori vs. Dolidze 2,http://ufcstats.com/event-details/39f62b833e4cf126,2025-03-15,"Las Vegas, Nevada, USA",,2025,3,15,5,Las Vegas,Nevada,USA,False,True
UFC 313: Pereira vs. Ankalaev,http://ufcstats.com/event-details/ca936c67687789e9,2025-03-08,"Las Vegas, Nevada, USA",,2025,3,8,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Kape vs. Almabayev,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-03-01,"Las Vegas, Nevada, USA",,2025,3,1,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cejudo vs. Song,http://ufcstats.com/event-details/c50ea21fe9ef478d,2025-02-22,"Seattle, Washington, USA",,2025,2,22,5,Seattle,Washington,USA,False,True
UFC Fight Night: Cannonier vs. Rodrigues,http://ufcstats.com/event-details/ce7871949b0ed2bf,2025-02-15,"Las Vegas, Nevada, USA",,2025,2,15,5,Las Vegas,Nevada,USA,False,True
UFC 312: Du Plessis vs. Strickland 2,http://ufcstats.com/event-details/e6015889f50075d2,2025-02-08,"Sydney, New South Wales, Australia",,2025,2,8,5,Sydney,New South Wales,Australia,True,False
UFC Fight Night: Adesanya vs. Imavov,http://ufcstats.com/event-details/80dbeb1dd5b53e64,2025-02-01,"Riyadh, Riyadh, Saudi Arabia",,2025,2,1,5,Riyadh,Riyadh,Saudi Arabia,False,True
UFC 311: Makhachev vs. Moicano,http://ufcstats.com/event-details/39f68882def7a507,2025-01-18,"Inglewood, California, USA",,2025,1,18,5,Inglewood,California,USA,True,False
UFC Fight Night: Dern vs. Ribas 2,http://ufcstats.com/event-details/81ddc98fceb30086,2025-01-11,"Las Vegas, Nevada, USA",,2025,1,11,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Covington vs. Buckley,http://ufcstats.com/event-details/72c9c2eadfc3277e,2024-12-14,"Tampa, Florida, USA",,2024,12,14,5,Tampa,Florida,USA,False,True
UFC 310: Pantoja vs. Asakura,http://ufcstats.com/event-details/ad23903ef3af7406,2024-12-07,"Las Vegas, Nevada, USA",,2024,12,7,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Yan vs. Figueiredo,http://ufcstats.com/event-details/e955046551f8c7dd,2024-11-23,"Macau, China",,2024,11,23,5,Macau,China,,False,True
UFC 309: Jones vs. Miocic,http://ufcstats.com/event-details/daff32bc96d1eabf,2024-11-16,"New York City, New York, USA",,2024,11,16,5,New York City,New York,USA,True,False
UFC Fight Night: Magny vs. Prates,http://ufcstats.com/event-details/585f9ffdb0cd0466,2024-11-09,"Las Vegas, Nevada, USA",,2024,11,9,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Moreno vs. Albazi,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2024-11-02,"Edmonton, Alberta, Canada",,2024,11,2,5,Edmonton,Alberta,Canada,False,True
UFC 308: Topuria vs. Holloway,http://ufcstats.com/event-details/221b2a3070c7ce3e,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2024,10,26,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Hernandez vs. Pereira,http://ufcstats.com/event-details/6a0047ac8c99fece,2024-10-19,"Las Vegas, Nevada, USA",,2024,10,19,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Royval vs. Taira,http://ufcstats.com/event-details/5bdcbd8dd681a257,2024-10-12,"Las Vegas, Nevada, USA",,2024,10,12,5,Las Vegas,Nevada,USA,False,True
UFC 307: Pereira vs. Rountree Jr.,http://ufcstats.com/event-details/eee8efec7b951d84,2024-10-05,"Salt Lake City, Utah, USA",,2024,10,5,5,Salt Lake City,Utah,USA,True,False
UFC Fight Night: Moicano vs. Saint Denis,http://ufcstats.com/event-details/079488710f012779,2024-09-28,"Paris, Ile-de-France, France",,2024,9,28,5,Paris,Ile-de-France,France,False,True
UFC 306: Riyadh Season Noche UFC,http://ufcstats.com/event-details/0c01568b1ac77bff,2024-09-14,"Las Vegas, Nevada, USA",,2024,9,14,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Burns vs. Brady,http://ufcstats.com/event-details/ee0b69e307c857e5,2024-09-07,"Las Vegas, Nevada, USA",,2024,9,7,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/event-details/be8ad887e4d674b0,2024-08-24,"Las Vegas, Nevada, USA",,2024,8,24,5,Las Vegas,Nevada,USA,False,True
UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/event-details/32ba186f4b0e3267,2024-08-17,"Perth, Western Australia, Australia",,2024,8,17,5,Perth,Western Australia,Australia,True,False
UFC Fight Night: Tybura vs. Spivac 2,http://ufcstats.com/event-details/2c733e059462c1dc,2024-08-10,"Las Vegas, Nevada, USA",,2024,8,10,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Sandhagen vs. Nurmagomedov,http://ufcstats.com/event-details/fe435e440b5de0ff,2024-08-03,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2024,8,3,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC 304: Edwards vs. Muhammad 2,http://ufcstats.com/event-details/026b4f7049085842,2024-07-27,"Manchester, England, United Kingdom",,2024,7,27,5,Manchester,England,United Kingdom,True,False
UFC Fight Night: Lemos vs. Jandiroba,http://ufcstats.com/event-details/c11036da9162cb5f,2024-07-20,"Las Vegas, Nevada, USA",,2024,7,20,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Namajunas vs. Cortez,http://ufcstats.com/event-details/66e0a70352fef46a,2024-07-13,"Denver, Colorado, USA",,2024,7,13,5,Denver,Colorado,USA,False,True
UFC 303: Pereira vs. Prochazka 2,http://ufcstats.com/event-details/f3743d8ef5dde970,2024-06-29,"Las Vegas, Nevada, USA",,2024,6,29,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Whittaker vs. Aliskerov,http://ufcstats.com/event-details/b12a1d19ee383b7c,2024-06-22,"Riyadh, Riyadh, Saudi Arabia",,2024,6,22,5,Riyadh,Riyadh,Saudi Arabia,False,True
UFC Fight Night: Perez vs. Taira,http://ufcstats.com/event-details/9c5828c6fd9dc948,2024-06-15,"Las Vegas, Nevada, USA",,2024,6,15,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cannonier vs. Imavov,http://ufcstats.com/event-details/cba3a2dfbc06ce79,2024-06-08,"Louisville, Kentucky, USA",,2024,6,8,5,Louisville,Kentucky,USA,False,True
UFC 302: Makhachev vs. Poirier,http://ufcstats.com/event-details/6e4acc2c115215b5,2024-06-01,"Newark, New Jersey, USA",,2024,6,1,5,Newark,New Jersey,USA,True,False
UFC Fight Night: Barboza vs. Murphy,http://ufcstats.com/event-details/46baf0f57edfa4df,2024-05-18,"Las Vegas, Nevada, USA",,2024,5,18,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Lewis vs. Nascimento,http://ufcstats.com/event-details/5dfe71ade71f3a4b,2024-05-11,"St. Louis, Missouri, USA",,2024,5,11,5,St. Louis,Missouri,USA,False,True
UFC 301: Pantoja vs. Erceg,http://ufcstats.com/event-details/981ab7a0576f76a0,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",,2024,5,4,5,Rio de Janeiro,Rio de Janeiro,Brazil,True,False
UFC Fight Night: Nicolau vs. Perez,http://ufcstats.com/event-details/a16ce18149021139,2024-04-27,"Las Vegas, Nevada, USA",,2024,4,27,5,Las Vegas,Nevada,USA,False,True
UFC 300: Pereira vs. Hill,http://ufcstats.com/event-details/6750e338922a099d,2024-04-13,"Las Vegas, Nevada, USA",,2024,4,13,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Allen vs. Curtis 2,http://ufcstats.com/event-details/899eaba48fa864a6,2024-04-06,"Las Vegas, Nevada, USA",,2024,4,6,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Blanchfield vs. Fiorot,http://ufcstats.com/event-details/dba230fe33011201,2024-03-30,"Atlantic City, New Jersey, USA",,2024,3,30,5,Atlantic City,New Jersey,USA,False,True
UFC Fight Night: Ribas vs. Namajunas,http://ufcstats.com/event-details/79ff6545b0abc685,2024-03-23,"Las Vegas, Nevada, USA",,2024,3,23,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Tuivasa vs. Tybura,http://ufcstats.com/event-details/c398235fcaf8d71d,2024-03-16,"Las Vegas, Nevada, USA",,2024,3,16,5,Las Vegas,Nevada,USA,False,True
UFC 299: O'Malley vs. Vera 2,http://ufcstats.com/event-details/a9df5ae20a97b090,2024-03-09,"Miami, Florida, USA",,2024,3,9,5,Miami,Florida,USA,True,False
UFC Fight Night: Rozenstruik vs. Gaziev,http://ufcstats.com/event-details/e4a9dbade7c7e1a7,2024-03-02,"Las Vegas, Nevada, USA",,2024,3,2,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Moreno vs. Royval 2,http://ufcstats.com/event-details/902ab9197b83d0db,2024-02-24,"Mexico City, Distrito Federal, Mexico",,2024,2,24,5,Mexico City,Distrito Federal,Mexico,False,True
UFC 298: Volkanovski vs. Topuria,http://ufcstats.com/event-details/dab0e6cb8c932162,2024-02-17,"Anaheim, California, USA",,2024,2,17,5,Anaheim,California,USA,True,False
UFC Fight Night: Hermansson vs. Pyfer,http://ufcstats.com/event-details/eaea0fc7b76525a8,2024-02-10,"Las Vegas, Nevada, USA",,2024,2,10,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Dolidze vs. Imavov,http://ufcstats.com/event-details/cce79e827569f26e,2024-02-03,"Las Vegas, Nevada, USA",,2024,2,3,5,Las Vegas,Nevada,USA,False,True
UFC 297: Strickland vs. Du Plessis,http://ufcstats.com/event-details/bd85ca0bb4f26cfc,2024-01-20,"Toronto, Ontario, Canada",,2024,1,20,5,Toronto,Ontario,Canada,True,False
UFC Fight Night: Ankalaev vs. Walker 2,http://ufcstats.com/event-details/010986ee359fb863,2024-01-13,"Las Vegas, Nevada, USA",,2024,1,13,5,Las Vegas,Nevada,USA,False,True
UFC 296: Edwards vs. Covington,http://ufcstats.com/event-details/a8e8587a06e73c87,2023-12-16,"Las Vegas, Nevada, USA",,2023,12,16,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Song vs. Gutierrez,http://ufcstats.com/event-details/5ef0088c1b19beeb,2023-12-09,"Las Vegas, Nevada, USA",,2023,12,9,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Dariush vs. Tsarukyan,http://ufcstats.com/event-details/53e4e21f4c688801,2023-12-02,"Austin, Texas, USA",,2023,12,2,5,Austin,Texas,USA,False,True
UFC Fight Night: Allen vs. Craig,http://ufcstats.com/event-details/3feed7d02711d8b7,2023-11-18,"Las Vegas, Nevada, USA",,2023,11,18,5,Las Vegas,Nevada,USA,False,True
UFC 295: Prochazka vs. Pereira,http://ufcstats.com/event-details/5a558ba1ff5e9121,2023-11-11,"New York City, New York, USA",,2023,11,11,5,New York City,New York,USA,True,False
UFC Fight Night: Almeida vs. Lewis,http://ufcstats.com/event-details/7c4ec656d8fcb867,2023-11-04,"Sao Paulo, Sao Paulo, Brazil",,2023,11,4,5,Sao Paulo,Sao Paulo,Brazil,False,True
UFC 294: Makhachev vs. Volkanovski 2,http://ufcstats.com/event-details/13a0fb8fbdafb54f,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2023,10,21,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Yusuff vs. Barboza,http://ufcstats.com/event-details/f3a078277b3b8ff4,2023-10-14,"Las Vegas, Nevada, USA",,2023,10,14,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Dawson vs. Green,http://ufcstats.com/event-details/c8a49ff2acb6f3c5,2023-10-07,"Las Vegas, Nevada, USA",,2023,10,7,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Fiziev vs. Gamrot,http://ufcstats.com/event-details/c945adc22c2bfe8f,2023-09-23,"Las Vegas, Nevada, USA",,2023,9,23,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Grasso vs. Shevchenko 2,http://ufcstats.com/event-details/8fa2b06572365321,2023-09-16,"Las Vegas, Nevada, USA",,2023,9,16,5,Las Vegas,Nevada,USA,False,True
UFC 293: Adesanya vs. Strickland,http://ufcstats.com/event-details/ece280745f8727b8,2023-09-09,"Sydney, New South Wales, Australia",,2023,9,9,5,Sydney,New South Wales,Australia,True,False
UFC Fight Night: Gane vs. Spivac,http://ufcstats.com/event-details/ef61d9f5176b3200,2023-09-02,"Paris, Ile-de-France, France",,2023,9,2,5,Paris,Ile-de-France,France,False,True
UFC Fight Night: Holloway vs. The Korean Zombie,http://ufcstats.com/event-details/89a407032911e27e,2023-08-26,"Kallang, Singapore",,2023,8,26,5,Kallang,Singapore,,False,True
UFC 292: Sterling vs. O'Malley,http://ufcstats.com/event-details/2719f300b0439039,2023-08-19,"Boston, Massachusetts, USA",,2023,8,19,5,Boston,Massachusetts,USA,True,False
UFC Fight Night: Luque vs. Dos Anjos,http://ufcstats.com/event-details/d2fa318f34d0aadc,2023-08-12,"Las Vegas, Nevada, USA",,2023,8,12,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Sandhagen vs. Font,http://ufcstats.com/event-details/6f81b6de2557739a,2023-08-05,"Nashville, Tennessee, USA",,2023,8,5,5,Nashville,Tennessee,USA,False,True
UFC 291: Poirier vs. Gaethje 2,http://ufcstats.com/event-details/ccd58ff71e260ed5,2023-07-29,"Salt Lake City, Utah, USA",,2023,7,29,5,Salt Lake City,Utah,USA,True,False
UFC Fight Night: Aspinall vs. Tybura,http://ufcstats.com/event-details/1174782eacde9b0c,2023-07-22,"London, England, United Kingdom",,2023,7,22,5,London,England,United Kingdom,False,True
UFC Fight Night: Holm vs. Bueno Silva,http://ufcstats.com/event-details/c9885b1b7c7055a0,2023-07-15,"Las Vegas, Nevada, USA",,2023,7,15,5,Las Vegas,Nevada,USA,False,True
UFC 290: Volkanovski vs. Rodriguez,http://ufcstats.com/event-details/6085ceb59087514b,2023-07-08,"Las Vegas, Nevada, USA",,2023,7,8,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Strickland vs. Magomedov,http://ufcstats.com/event-details/e9e1acc96536bb4f,2023-07-01,"Las Vegas, Nevada, USA",,2023,7,1,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Emmett vs. Topuria,http://ufcstats.com/event-details/a780d16cf7eed44d,2023-06-24,"Jacksonville, Florida, USA",,2023,6,24,5,Jacksonville,Florida,USA,False,True
UFC Fight Night: Vettori vs. Cannonier,http://ufcstats.com/event-details/b9415726dc3ec526,2023-06-17,"Las Vegas, Nevada, USA",,2023,6,17,5,Las Vegas,Nevada,USA,False,True
UFC 289: Nunes vs. Aldana,http://ufcstats.com/event-details/b6c6d1731ff00eeb,2023-06-10,"Vancouver, British Columbia, Canada",,2023,6,10,5,Vancouver,British Columbia,Canada,True,False
UFC Fight Night: Kara-France vs. Albazi,http://ufcstats.com/event-details/7abe471b61725980,2023-06-03,"Las Vegas, Nevada, USA",,2023,6,3,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Dern vs. Hill,http://ufcstats.com/event-details/6f812143641ceff8,2023-05-20,"Las Vegas, Nevada, USA",,2023,5,20,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Rozenstruik vs. Almeida,http://ufcstats.com/event-details/901cddcbfa079097,2023-05-13,"Charlotte, North Carolina, USA",,2023,5,13,5,Charlotte,North Carolina,USA,False,True
UFC 288: Sterling vs. Cejudo,http://ufcstats.com/event-details/3c6976f8182d9527,2023-05-06,"Newark, New Jersey, USA",,2023,5,6,5,Newark,New Jersey,USA,True,False
UFC Fight Night: Song vs. Simon,http://ufcstats.com/event-details/51b1e2fd9872005b,2023-04-29,"Las Vegas, Nevada, USA",,2023,4,29,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Pavlovich vs. Blaydes,http://ufcstats.com/event-details/6fb1ba67bef41b37,2023-04-22,"Las Vegas, Nevada, USA",,2023,4,22,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Holloway vs. Allen,http://ufcstats.com/event-details/15b1b21cd743d652,2023-04-15,"Kansas City, Missouri, USA",,2023,4,15,5,Kansas City,Missouri,USA,False,True
UFC 287: Pereira vs. Adesanya 2,http://ufcstats.com/event-details/3dc3022232b79c7a,2023-04-08,"Miami, Florida, USA",,2023,4,8,5,Miami,Florida,USA,True,False
UFC Fight Night: Vera vs. Sandhagen,http://ufcstats.com/event-details/aec273fcb765330d,2023-03-25,"San Antonio, Texas, USA",,2023,3,25,5,San Antonio,Texas,USA,False,True
UFC 286: Edwards vs. Usman 3,http://ufcstats.com/event-details/e4bb7e483c4ad318,2023-03-18,"London, England, United Kingdom",,2023,3,18,5,London,England,United Kingdom,True,False
UFC Fight Night: Yan vs. Dvalishvili,http://ufcstats.com/event-details/35080a7f406f9ab3,2023-03-11,"Las Vegas, Nevada, USA",,2023,3,11,5,Las Vegas,Nevada,USA,False,True
UFC 285: Jones vs. Gane,http://ufcstats.com/event-details/1ccff7f0cfdf85eb,2023-03-04,"Las Vegas, Nevada, USA",,2023,3,4,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Muniz vs. Allen,http://ufcstats.com/event-details/806975e1b4f47b27,2023-02-25,"Las Vegas, Nevada, USA",,2023,2,25,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Andrade vs. Blanchfield,http://ufcstats.com/event-details/f21a3d68fb9df387,2023-02-18,"Las Vegas, Nevada, USA",,2023,2,18,5,Las Vegas,Nevada,USA,False,True
UFC 284: Makhachev vs. Volkanovski,http://ufcstats.com/event-details/01dd4cdc2446f665,2023-02-11,"Perth, Western Australia, Australia",,2023,2,11,5,Perth,Western Australia,Australia,True,False
UFC Fight Night: Lewis vs. Spivac,http://ufcstats.com/event-details/d26394fc0e8e880a,2023-02-04,"Las Vegas, Nevada, USA",,2023,2,4,5,Las Vegas,Nevada,USA,False,True
UFC 283: Teixeira vs. Hill,http://ufcstats.com/event-details/5717efc6f271cd52,2023-01-21,"Rio de Janeiro, Rio de Janeiro, Brazil",,2023,1,21,5,Rio de Janeiro,Rio de Janeiro,Brazil,True,False
UFC Fight Night: Strickland vs. Imavov,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9,2023-01-14,"Las Vegas, Nevada, USA",,2023,1,14,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cannonier vs. Strickland,http://ufcstats.com/event-details/56ec58954158966a,2022-12-17,"Las Vegas, Nevada, USA",,2022,12,17,5,Las Vegas,Nevada,USA,False,True
UFC 282: Blachowicz vs. Ankalaev,http://ufcstats.com/event-details/f65a0eb902f9476b,2022-12-10,"Las Vegas, Nevada, USA",,2022,12,10,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Thompson vs. Holland,http://ufcstats.com/event-details/b23388ff8ac6637b,2022-12-03,"Orlando, Florida, USA",,2022,12,3,5,Orlando,Florida,USA,False,True
UFC Fight Night: Nzechukwu vs. Cutelaba,http://ufcstats.com/event-details/012fc7cd0779c09a,2022-11-19,"Las Vegas, Nevada, USA",,2022,11,19,5,Las Vegas,Nevada,USA,False,True
UFC 281: Adesanya vs. Pereira,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,2022-11-12,"New York City, New York, USA",,2022,11,12,5,New York City,New York,USA,True,False
UFC Fight Night: Rodriguez vs. Lemos,http://ufcstats.com/event-details/756f45905fb20cb5,2022-11-05,"Las Vegas, Nevada, USA",,2022,11,5,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Kattar vs. Allen,http://ufcstats.com/event-details/be5aab761c40ef35,2022-10-29,"Las Vegas, Nevada, USA",,2022,10,29,5,Las Vegas,Nevada,USA,False,True
UFC 280: Oliveira vs. Makhachev,http://ufcstats.com/event-details/885e7f70dcac0007,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2022,10,22,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Grasso vs. Araujo,http://ufcstats.com/event-details/49c29e57d4e2be6f,2022-10-15,"Las Vegas, Nevada, USA",,2022,10,15,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Dern vs. Yan,http://ufcstats.com/event-details/4f670b7972fa0a2e,2022-10-01,"Las Vegas, Nevada, USA",,2022,10,1,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Sandhagen vs. Song,http://ufcstats.com/event-details/8d477c3fbe001f9d,2022-09-17,"Las Vegas, Nevada, USA",,2022,9,17,5,Las Vegas,Nevada,USA,False,True
UFC 279: Diaz vs. Ferguson,http://ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,"Las Vegas, Nevada, USA",,2022,9,10,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Gane vs. Tuivasa,http://ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,"Paris, Ile-de-France, France",,2022,9,3,5,Paris,Ile-de-France,France,False,True
UFC 278: Usman vs. Edwards,http://ufcstats.com/event-details/4f853e98886283cf,2022-08-20,"Salt Lake City, Utah, USA",,2022,8,20,5,Salt Lake City,Utah,USA,True,False
UFC Fight Night: Vera vs. Cruz,http://ufcstats.com/event-details/a23e63184c65f5b8,2022-08-13,"San Diego, California, USA",,2022,8,13,5,San Diego,California,USA,False,True
UFC Fight Night: Santos vs. Hill,http://ufcstats.com/event-details/8f6a18831a120817,2022-08-06,"Las Vegas, Nevada, USA",,2022,8,6,5,Las Vegas,Nevada,USA,False,True
UFC 277: Pena vs. Nunes 2,http://ufcstats.com/event-details/b0a6124751a56bc4,2022-07-30,"Dallas, Texas, USA",,2022,7,30,5,Dallas,Texas,USA,True,False
UFC Fight Night: Blaydes vs. Aspinall,http://ufcstats.com/event-details/319c15b8aac5bfde,2022-07-23,"London, England, United Kingdom",,2022,7,23,5,London,England,United Kingdom,False,True
UFC Fight Night: Ortega vs. Rodriguez,http://ufcstats.com/event-details/8fd76e1b49c00ae2,2022-07-16,"Elmont, New York, USA",,2022,7,16,5,Elmont,New York,USA,False,True
UFC Fight Night: Dos Anjos vs. Fiziev,http://ufcstats.com/event-details/31da66df48c0c1a0,2022-07-09,"Las Vegas, Nevada, USA",,2022,7,9,5,Las Vegas,Nevada,USA,False,True
UFC 276: Adesanya vs. Cannonier,http://ufcstats.com/event-details/4a9e305633f3ef47,2022-07-02,"Las Vegas, Nevada, USA",,2022,7,2,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Tsarukyan vs. Gamrot,http://ufcstats.com/event-details/eb42d4febfafefd1,2022-06-25,"Las Vegas, Nevada, USA",,2022,6,25,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Kattar vs. Emmett,http://ufcstats.com/event-details/a0a680fe2f6cc8e6,2022-06-18,"Austin, Texas, USA",,2022,6,18,5,Austin,Texas,USA,False,True
UFC 275: Teixeira vs. Prochazka,http://ufcstats.com/event-details/3a24769a4855040a,2022-06-11,"Kallang, Singapore",,2022,6,11,5,Kallang,Singapore,,True,False
UFC Fight Night: Volkov vs. Rozenstruik,http://ufcstats.com/event-details/57591bbf1623574e,2022-06-04,"Las Vegas, Nevada, USA",,2022,6,4,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Holm vs. Vieira,http://ufcstats.com/event-details/a6c32678efd4f434,2022-05-21,"Las Vegas, Nevada, USA",,2022,5,21,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Blachowicz vs. Rakic,http://ufcstats.com/event-details/60ba33c3f555a7a3,2022-05-14,"Las Vegas, Nevada, USA",,2022,5,14,5,Las Vegas,Nevada,USA,False,True
UFC 274: Oliveira vs. Gaethje,http://ufcstats.com/event-details/253d3f9e97ca149a,2022-05-07,"Phoenix, Arizona, USA",,2022,5,7,5,Phoenix,Arizona,USA,True,False
UFC Fight Night: Font vs. Vera,http://ufcstats.com/event-details/6bf5a7d3e081ade2,2022-04-30,"Las Vegas, Nevada, USA",,2022,4,30,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Lemos vs. Andrade,http://ufcstats.com/event-details/236a37d96d476164,2022-04-23,"Las Vegas, Nevada, USA",,2022,4,23,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Luque vs. Muhammad,http://ufcstats.com/event-details/8753e125f4499816,2022-04-16,"Las Vegas, Nevada, USA",,2022,4,16,5,Las Vegas,Nevada,USA,False,True
UFC 273: Volkanovski vs. The Korean Zombie,http://ufcstats.com/event-details/3a97fda0de6f1fa4,2022-04-09,"Jacksonville, Florida, USA",,2022,4,9,5,Jacksonville,Florida,USA,True,False
