EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
UFC 92: The Ultimate 2008,http://ufcstats.com/event-details/23ab42947c1990e3,2008-12-27,"Las Vegas, Nevada, USA",,2008,12,27,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,http://ufcstats.com/event-details/ea398c802d9998ee,2008-12-13,"Las Vegas, Nevada, USA",,2008,12,13,5,Las Vegas,Nevada,USA,False,False
UFC Fight Night - Fight for the Troops,http://ufcstats.com/event-details/30cd319d39ee689b,2008-12-10,"Fayetteville, North Carolina, USA",,2008,12,10,2,Fayetteville,North Carolina,USA,False,True
UFC 91: Couture vs Lesnar,http://ufcstats.com/event-details/a2b06ca02bca14c0,2008-11-15,"Las Vegas, Nevada, USA",,2008,11,15,5,Las Vegas,Nevada,USA,True,False
UFC 90: Silva vs Cote,http://ufcstats.com/event-details/c670aa48827d6be6,2008-10-25,"Rosemont, Illinois, USA",,2008,10,25,5,Rosemont,Illinois,USA,True,False
UFC 89: Bisping vs Leben,http://ufcstats.com/event-details/312f47c3d2f83ffa,2008-10-18,"Birmingham, England, United Kingdom",,2008,10,18,5,Birmingham,England,United Kingdom,True,False
UFC Fight Night: Diaz vs Neer,http://ufcstats.com/event-details/279093302a6f44b3,2008-09-17,"Omaha, Nebraska, USA",,2008,9,17,2,Omaha,Nebraska,USA,False,True
UFC 88: Breakthrough,http://ufcstats.com/event-details/0db70ca89e1c7374,2008-09-06,"Atlanta, Georgia, USA",,2008,9,6,5,Atlanta,Georgia,USA,True,False
UFC 87: Seek And Destroy,http://ufcstats.com/event-details/19ffeb5e3fffd6d5,2008-08-09,"Minneapolis, Minnesota, USA",,2008,8,9,5,Minneapolis,Minnesota,USA,True,False
UFC: Silva vs Irvin,http://ufcstats.com/event-details/46f11d15c0134fe3,2008-07-19,"Las Vegas, Nevada, USA",,2008,7,19,5,Las Vegas,Nevada,USA,False,False
UFC 86: Jackson vs Griffin,http://ufcstats.com/event-details/bf12aca029bfcc47,2008-07-05,"Las Vegas, Nevada, USA",,2008,7,5,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,http://ufcstats.com/event-details/2299605af59fd309,2008-06-21,"Las Vegas, Nevada, USA",,2008,6,21,5,Las Vegas,Nevada,USA,False,False
UFC 85: Bedlam,http://ufcstats.com/event-details/2efbc83a6b9b7f86,2008-06-07,"London, England, United Kingdom",,2008,6,7,5,London,England,United Kingdom,True,False
UFC 84: Ill Will,http://ufcstats.com/event-details/2549d63da9c456cb,2008-05-24,"Las Vegas, Nevada, USA",,2008,5,24,5,Las Vegas,Nevada,USA,True,False
UFC 83: Serra vs St-Pierre 2,http://ufcstats.com/event-details/ad047e3073a775f3,2008-04-19,"Montreal, Quebec, Canada",,2008,4,19,5,Montreal,Quebec,Canada,True,False
UFC Fight Night: Florian vs Lauzon,http://ufcstats.com/event-details/b9e871af730f826c,2008-04-02,"Broomfield, Colorado, USA",,2008,4,2,2,Broomfield,Colorado,USA,False,True
UFC 82: Pride of a Champion,http://ufcstats.com/event-details/598a58db87b890ee,2008-03-01,"Columbus, Ohio, USA",,2008,3,1,5,Columbus,Ohio,USA,True,False
UFC 81: Breaking Point,http://ufcstats.com/event-details/597db668b01c442c,2008-02-02,"Las Vegas, Nevada, USA",,2008,2,2,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Swick vs Burkman,http://ufcstats.com/event-details/33e33d51f289d2a1,2008-01-23,"Las Vegas, Nevada, USA",,2008,1,23,2,Las Vegas,Nevada,USA,False,True
UFC 80: Rapid Fire,http://ufcstats.com/event-details/a24e080000fa7a35,2008-01-19,"Newcastle, England, United Kingdom",,2008,1,19,5,Newcastle,England,United Kingdom,True,False
UFC 79: Nemesis,http://ufcstats.com/event-details/7269329bd87eb479,2007-12-29,"Las Vegas, Nevada, USA",,2007,12,29,5,Las Vegas,Nevada,USA,True,False
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,http://ufcstats.com/event-details/df85d6ec3493d120,2007-12-08,"Las Vegas, Nevada, USA",,2007,12,8,5,Las Vegas,Nevada,USA,False,False
UFC 78: Validation,http://ufcstats.com/event-details/1d147d4163a6989b,2007-11-17,"Newark, New Jersey, USA",,2007,11,17,5,Newark,New Jersey,USA,True,False
UFC 77: Hostile Territory,http://ufcstats.com/event-details/91181b29be041f1c,2007-10-20,"Cincinnati, Ohio, USA",,2007,10,20,5,Cincinnati,Ohio,USA,True,False
